message_time_utc,cycle_date_utc,cycle_hour,model,alaskan_count,canadian_count,conus_count,mexican_count,caribbean_count,pacific_count,raw_message_id,raw_message_excerpt,message_hash
2025-10-05T13:33:00Z,2025-10-05,12,NAM,12,24,49,11,5,7,d8b123454b539546,49 CONUS...11 Mexican...5 Caribbean...and 7 Pacific raobs available for ingest,d8b123454b539546
2025-10-06T01:39:00Z,2025-10-06,00,NAM,10,25,61,12,4,9,ea1ae5e1dfdcce59,61 CONUS...12 Mexican...4 Caribbean...and 9 Pacific raobs available for ingest,ea1ae5e1dfdcce59
2025-10-06T03:13:00Z,2025-10-06,00,GFS,10,25,62,12,4,9,0b11074cb35f94c6,62 CONUS...12 Mexican...4 Caribbean...and 9 Pacific raobs available for ingest,0b11074cb35f94c6
2025-10-07T01:43:00Z,2025-10-07,00,NAM,7,27,63,13,3,9,3c3fce8aeae817c3,63 CONUS...13 Mexican...3 Caribbean...and 9 Pacific stations available for ingest,3c3fce8aeae817c3
2025-10-07T03:25:00Z,2025-10-07,00,GFS,7,27,63,13,4,9,a35f8580ec2452bb,63 CONUS...13 Mexican...4 Caribbean...and 9 Pacific stations available for ingest,a35f8580ec2452bb
2025-10-08T01:38:00Z,2025-10-08,00,NAM,9,25,62,14,4,9,d2a42125af062028,62 CONUS...14 Mexican...4 Caribbean...and 9 Pacific stations available for ingest,d2a42125af062028
2025-10-08T03:23:00Z,2025-10-08,00,GFS,9,25,62,14,4,9,9f20a7910051b53a,62 CONUS...14 Mexican...4 Caribbean...and 9 Pacific stations available for ingest,9f20a7910051b53a
2025-10-09T01:27:00Z,2025-10-09,00,NAM,7,27,61,14,3,9,87361c61130eee58,61 CONUS..14 Mexican 3 Caribbean..and 9 Pacific stations available for ingest,87361c61130eee58
2025-10-10T13:23:00Z,2025-10-10,12,NCEP,10,26,51,13,5,9,790da5dee455375b,51 CONUS..13 Mexican 5 Caribbean..and 9 Pacific stations available for ingest,790da5dee455375b
2025-10-11T13:39:00Z,2025-10-11,12,NCEP,11,24,51,12,6,9,832d98977137e078,51 CONUS..12 Mexican 6 Caribbean..and 9 Pacific stations available for ingest,832d98977137e078
2025-10-12T01:39:00Z,2025-10-12,00,NAM,10,24,61,12,3,9,bd5fa4c3245fcc68,61 CONUS...12 Mexican...3 Caribbean...and 9 Pacific raobs available for ingest,bd5fa4c3245fcc68
2025-10-12T03:18:00Z,2025-10-12,00,GFS,10,24,62,12,4,9,2a169e02f47f3604,62 CONUS...12 Mexican...4 Caribbean...and 9 Pacific raobs available for ingest,2a169e02f47f3604
2025-10-12T13:48:00Z,2025-10-12,12,NAM,9,25,52,12,6,9,d7269c19e284caa1,52 CONUS...12 Mexican...6 Caribbean...and 9 Pacific stations available for ingest,d7269c19e284caa1
